Post link,City,Neighborhood,Size,Number of rooms,Floor number,Taxes,Price,Room mates,Furniture,Elevator,Air conditioner,Parking,Balcony,Bars,Shelter,Storeroom,Renovated,Boiler,Pets allowed
xs3zc4wb,נתניה,רמת ידין,65,3,1,,3700,1,1,1,1,0,,1,1,1,1,1,1
wp8vayht,יפו ג',נווה גולן,72,4,3,450,4500,1,1,1,1,0,,1,1,1,1,1,1
b9m8pdov,ירושלים,פסגת זאב,80,3,3,,4000,1,1,1,1,0,1,1,1,1,1,1,1
9wm65zcw,אשקלון,עיר ימים / הבלוט,98,3,1,,4100,1,1,1,1,1,1,1,1,1,1,1,1
93hvmf0v,מעלות תרשיחא,שכונה ותיקה - מרכז העיר,85,4,1,,2500,1,1,1,1,0,,1,1,1,1,1,1
j4tzaxdv,עכו,נווה אלון,55,2.5,3,,2350,1,1,1,1,0,,1,1,1,1,1,1
o5942rkf,נתניה,מרכז העיר דרום,40,2,4,600,3000,1,1,1,1,0,,1,1,1,1,1,1
fl0yi6t9,ראשון לציון,האירוס,150,5,9,,9770,1,1,1,1,1,1,1,1,1,1,1,1
1bjbounc,בית שמש,רמת משה / בית שמש הוותיקה,60,3,,,2800,1,1,1,1,1,,1,1,1,1,1,1
zyhc8jqz,רמת גן,אזור הבילויים,80,3.5,3,450,5400,1,1,1,1,0,1,1,1,1,1,1,1
kgbwpos5,קרית ים,סביוני ים,125,4.5,6,,,1,1,1,1,1,1,1,1,1,1,1,1
r5vryvz9,מטע,מטע,60,2.5,1,,3600,1,1,1,1,0,,1,1,1,1,1,1
1bjbounc,בית שמש,רמת משה / בית שמש הוותיקה,60,3,,,2800,1,1,1,1,1,,1,1,1,1,1,1
zyhc8jqz,רמת גן,אזור הבילויים,80,3.5,3,450,5400,1,1,1,1,0,1,1,1,1,1,1,1
kgbwpos5,קרית ים,סביוני ים,125,4.5,6,,,1,1,1,1,1,1,1,1,1,1,1,1
r5vryvz9,מטע,מטע,60,2.5,1,,3600,1,1,1,1,0,,1,1,1,1,1,1
aazrxgf4,קרית ים,סביוני ים,109,4,3,,4500,1,1,1,1,1,1,1,1,1,1,1,1
zvab7lo1,פרדס בחסכון,בית בפארק,140,5,10,1500,6800,1,1,1,1,1,1,1,1,1,1,1,1
54buagmd,בית שמש,רמת האמוראים / רמת בית שמש ד-1,129,4,1,,3900,1,1,1,1,1,1,1,1,1,1,1,1
32s1m0pv,יבנה,נאות רבין,90,3,5,,5500,1,1,1,1,1,1,1,1,1,1,1,1
egfbdx9k,חולון,רסקו א',75,3,1,540,4600,1,1,1,1,0,,1,1,1,1,1,1
ahanorsd,אשקלון,נווה ים,69,3.5,4,350,2300,1,1,1,1,0,,1,1,1,1,1,1
ml4ngiz6,באר שבע,שכונה ו',130,4.5,8,940,3200,1,1,1,1,1,3,1,1,1,1,1,1
choevlzl,בת ים,רמת הנשיא,75,3,3,936,4300,1,1,1,1,0,1,1,1,1,1,1,1
7mit942a,קרית גת,ההעפלה,107,3.5,9,,4000,1,1,1,1,1,1,1,1,1,1,1,1
4wp8pdsu,חיפה,רמות רמז,25,1.5,1,1,1600,1,1,1,1,0,,1,1,1,1,1,1
54buagmd,בית שמש,רמת האמוראים / רמת בית שמש ד-1,129,4,1,,3900,1,1,1,1,1,1,1,1,1,1,1,1
32s1m0pv,יבנה,נאות רבין,90,3,5,,5500,1,1,1,1,1,1,1,1,1,1,1,1
egfbdx9k,חולון,רסקו א',75,3,1,540,4600,1,1,1,1,0,,1,1,1,1,1,1
ahanorsd,אשקלון,נווה ים,69,3.5,4,350,2300,1,1,1,1,0,,1,1,1,1,1,1
ml4ngiz6,באר שבע,שכונה ו',130,4.5,8,940,3200,1,1,1,1,1,3,1,1,1,1,1,1
choevlzl,בת ים,רמת הנשיא,75,3,3,936,4300,1,1,1,1,0,1,1,1,1,1,1,1
7mit942a,קרית גת,ההעפלה,107,3.5,9,,4000,1,1,1,1,1,1,1,1,1,1,1,1
4wp8pdsu,חיפה,רמות רמז,25,1.5,1,1,1600,1,1,1,1,0,,1,1,1,1,1,1
cqav6a7t,קרית ים,בנה ביתך,112,4,6,,4500,1,1,1,1,1,1,1,1,1,1,1,1
qqo9jpax,בני ברק,הר שלום,35,2.5,2,,2800,1,1,1,1,0,,1,1,1,1,1,1
qxogz53p,בית שמש,רמת האמוראים / רמת בית שמש ד-2,141,6,5,,6500,1,1,1,1,1,1,1,1,1,1,1,1
dpzd7lh7,ירושלים,קרית היובל,65,3,1,,3800,1,1,1,1,0,,1,1,1,1,1,1
0mp0663l,שחמון,שבטי ישראל,100,5,3,,4750,1,1,1,1,0,,1,1,1,1,1,1
d5g94tlc,נתניה,מרכז העיר דרום,38,2,3,,2600,1,1,1,1,0,,1,1,1,1,1,1
qxogz53p,בית שמש,רמת האמוראים / רמת בית שמש ד-2,141,6,5,,6500,1,1,1,1,1,1,1,1,1,1,1,1
dpzd7lh7,ירושלים,קרית היובל,65,3,1,,3800,1,1,1,1,0,,1,1,1,1,1,1
0mp0663l,שחמון,שבטי ישראל,100,5,3,,4750,1,1,1,1,0,,1,1,1,1,1,1
d5g94tlc,נתניה,מרכז העיר דרום,38,2,3,,2600,1,1,1,1,0,,1,1,1,1,1,1
cjno5fou,חריש,אבני חן,100,5,4,1080,3400,1,1,1,1,1,2,1,1,1,1,1,1
f81kvb1k,בית שמש,רמת האמוראים / רמת בית שמש ד-2,80,3,1,,2950,1,1,1,1,1,1,1,1,1,1,1,1
u0e986je,דימונה,הנצחון,79,3,3,,2000,1,1,1,1,0,1,1,1,1,1,1,1
tjijth2u,חולון,גרין ועם,100,4,4,950,4900,1,1,1,1,1,,1,1,1,1,1,1
zt3jzfha,חיפה,עבאס,75,2,1,,2500,1,1,1,1,0,2,1,1,1,1,1,1
enh5yn8x,פתח תקווה,תקומה / קרית חזני,50,3,2,,3500,1,1,1,1,0,,1,1,1,1,1,1
lscinbcy,כפר יהושע,כפר יהושע,65,2.5,2,,3500,1,1,1,1,1,2,1,1,1,1,1,1
hfvipj26,חיפה,רוממה,67,3,1,650,3100,1,1,1,1,1,,1,1,1,1,1,1
hqv5m9n3,קרית מוצקין,מוצקין הותיקה,26,1.5,1,,1800,1,1,1,1,0,1,1,1,1,1,1,1
5q2mzm4y,נתיבות,נתיבות מערב,100,4,1,,3500,1,1,1,1,1,1,1,1,1,1,1,1
rngpuhgs,חיפה,יזרעאליה,97,4,12,700,3500,1,1,1,1,1,,1,1,1,1,1,1
u0e986je,דימונה,הנצחון,79,3,3,,2000,1,1,1,1,0,1,1,1,1,1,1,1
tjijth2u,חולון,גרין ועם,100,4,4,950,4900,1,1,1,1,1,,1,1,1,1,1,1
zt3jzfha,חיפה,עבאס,75,2,1,,2500,1,1,1,1,0,2,1,1,1,1,1,1
enh5yn8x,פתח תקווה,תקומה / קרית חזני,50,3,2,,3500,1,1,1,1,0,,1,1,1,1,1,1
lscinbcy,כפר יהושע,כפר יהושע,65,2.5,2,,3500,1,1,1,1,1,2,1,1,1,1,1,1
hfvipj26,חיפה,רוממה,67,3,1,650,3100,1,1,1,1,1,,1,1,1,1,1,1
hqv5m9n3,קרית מוצקין,מוצקין הותיקה,26,1.5,1,,1800,1,1,1,1,0,1,1,1,1,1,1,1
5q2mzm4y,נתיבות,נתיבות מערב,100,4,1,,3500,1,1,1,1,1,1,1,1,1,1,1,1
rngpuhgs,חיפה,יזרעאליה,97,4,12,700,3500,1,1,1,1,1,,1,1,1,1,1,1
w3r2qvlm,תל אביב יפו,שפירא,25,1,1,1,3200,1,1,1,1,0,1,1,1,1,1,1,1
mikfhfe5,חיפה,המושבה הגרמנית,90,4,4,,3600,1,1,1,1,1,,1,1,1,1,1,1
nn2cm7zi,נתניה,מרכז העיר דרום,30,2,,,4000,1,1,1,1,0,,1,1,1,1,1,1
hyccrlys,אור עקיבא,אורות,90,4,2,,3600,1,1,1,1,0,,1,1,1,1,1,1
dzakhpp5,ראשון לציון,נווה חוף,70,3,1,,5000,1,1,1,1,1,,1,1,1,1,1,1
w5cibj44,פרדס חנה כרכור,תל ימת כרכור,55,3,2,365,1900,1,1,1,1,1,,1,1,1,1,1,1
yh87v6mp,דימונה,הנצחון,70,3,2,400,1000,1,1,1,1,1,,1,1,1,1,1,1
vkzgtr30,נהריה,גבעת אוסישקין,80,3.5,4,600,2600,1,1,1,1,0,,1,1,1,1,1,1
gy1qx8p0,שביט,גבעה א',72,3,3,,1750,1,1,1,1,1,1,1,1,1,1,1,1
b83jtk7d,תל אביב יפו,הצפון הישן - צפון,55,1,3,,5500,1,1,1,1,0,1,1,1,1,1,1,1
vhl2ys7q,נס ציונה,גבעת נוף,80,3.5,2,,4800,1,1,1,1,1,,1,1,1,1,1,1
oj96i0yf,נתיבות,נווה שרון / שער העיר,122,5,8,,3400,1,1,1,1,1,1,1,1,1,1,1,1
58uz74vg,יבנה,נאות שמיר,161,6,2,1700,7000,1,1,1,1,1,1,1,1,1,1,1,1
i8ooh5a2,טבריה,רבי עקיבא,40,2,,,1400,1,1,1,1,1,,1,1,1,1,1,1
vhl2ys7q,נס ציונה,גבעת נוף,80,3.5,2,,4800,1,1,1,1,1,,1,1,1,1,1,1
oj96i0yf,נתיבות,נווה שרון / שער העיר,122,5,8,,3400,1,1,1,1,1,1,1,1,1,1,1,1
58uz74vg,יבנה,נאות שמיר,161,6,2,1700,7000,1,1,1,1,1,1,1,1,1,1,1,1
i8ooh5a2,טבריה,רבי עקיבא,40,2,,,1400,1,1,1,1,1,,1,1,1,1,1,1
p20v90aq,אור יהודה,קרית גיורא,85,4,2,,4800,1,1,1,1,0,,1,1,1,1,1,1
qhuo00bd,חולון,אגרובנק,55,2.5,3,500,3600,1,1,1,1,0,,1,1,1,1,1,1
asazws2r,יהוד מונוסון,נווה מונוסון,134,5,7,,8000,1,1,1,1,1,1,1,1,1,1,1,1
y34zij2c,בית יעקב,התקוה,45,2,1,,4600,1,1,1,1,0,,1,1,1,1,1,1
qo3zkdya,בית יעקב,התקוה,45,2,,,4200,1,1,1,1,1,1,1,1,1,1,1,1
utoxepkd,תל אביב יפו,ניר אביב,70,3,5,400,4800,1,1,1,1,0,,1,1,1,1,1,1
bqfvjbn3,הרצליה,מרכז,45,2.5,4,,3000,1,1,1,1,0,,1,1,1,1,1,1
5gpflamj,רחובות,ג' / מרכז מזרח העיר,100,3.5,4,1000,4650,1,1,1,1,0,,1,1,1,1,1,1
gzgso04g,לב העיר צפון,לב תל אביב,40,2,,230,6300,1,1,1,1,0,,1,1,1,1,1,1
medmeywg,שדרות,נאות אשכול,125,4,2,,2700,1,1,1,1,0,,1,1,1,1,1,1
mhkcypmb,קרית מוצקין,אביבים,80,3,3,650,2500,1,1,1,1,1,,1,1,1,1,1,1
fxrolwmf,חיפה,קרית אליעזר,90,4,2,,3600,1,1,1,1,0,,1,1,1,1,1,1
g9istarp,נתיבות,קרית משה,65,3.5,2,,2300,1,1,1,1,1,,1,1,1,1,1,1
qshsee4d,רחובות,ב' / צפון מערב העיר,70,3,3,,4200,1,1,1,1,0,2,1,1,1,1,1,1
jacz2afi,באר שבע,שכונה ד',50,2,3,,1600,1,1,1,1,0,,1,1,1,1,1,1
ntsx6ca0,באר שבע,שכונה ג',75,4,2,540,2800,1,1,1,1,1,1,1,1,1,1,1,1
501b8ihq,ירושלים,קרית היובל,60,3,2,,3400,1,1,1,1,1,,1,1,1,1,1,1
ntsx6ca0,באר שבע,שכונה ג',75,4,2,540,2800,1,1,1,1,1,1,1,1,1,1,1,1
501b8ihq,ירושלים,קרית היובל,60,3,2,,3400,1,1,1,1,1,,1,1,1,1,1,1
413j88gx,הוד השרון,גיל עמל,85,3,2,450,6000,1,1,1,1,0,2,1,1,1,1,1,1
a0w0it68,יבנה,רמות ויצמן,50,2,4,,2850,1,1,1,1,0,,1,1,1,1,1,1
3le06loq,פרדס בחסכון,בית בפארק,159,6,5,,6500,1,1,1,1,1,1,1,1,1,1,1,1
emugviyb,באר שבע,שכונה ד',30,2,3,1,2300,1,1,1,1,1,,1,1,1,1,1,1
hdn1jxc5,כפר יונה,שרונה,125,5,7,1,5600,1,1,1,1,1,1,1,1,1,1,1,1
sr3qr2sl,חיפה,רמת בן גוריון,75,3.5,13,700,3500,1,1,1,1,0,,1,1,1,1,1,1
9t7p6zbg,ירושלים,פסגת זאב,85,3,2,,3750,1,1,1,1,1,,1,1,1,1,1,1
3kejqmym,כפר סבא,כפר סבא הירוקה,80,3,2,,6700,1,1,1,1,1,1,1,1,1,1,1,1
ay2k265j,לוד,החשמונאים,77,3.5,3,,2950,1,1,1,1,0,,1,1,1,1,1,1
blfk6qfr,חריש,החורש,95,4,1,900,2650,1,1,1,1,1,1,1,1,1,1,1,1
65bj2avw,בני ברק,פרדס כץ,50,2.5,4,200,3300,1,1,1,1,1,1,1,1,1,1,1,1
3kejqmym,כפר סבא,כפר סבא הירוקה,80,3,2,,6700,1,1,1,1,1,1,1,1,1,1,1,1
ay2k265j,לוד,החשמונאים,77,3.5,3,,2950,1,1,1,1,0,,1,1,1,1,1,1
blfk6qfr,חריש,החורש,95,4,1,900,2650,1,1,1,1,1,1,1,1,1,1,1,1
65bj2avw,בני ברק,פרדס כץ,50,2.5,4,200,3300,1,1,1,1,1,1,1,1,1,1,1,1
7pn7e5cd,ירושלים,המושבה היוונית,70,4,2,800,6000,1,1,1,1,0,,1,1,1,1,1,1
4ll0h07p,חיפה,גאולה,70,2,2,,2100,1,1,1,1,0,2,1,1,1,1,1,1
yrigc3rs,נשר,רמות יצחק,105,4,14,,3900,1,1,1,1,1,1,1,1,1,1,1,1
mneyar94,רמלה,ויצמן,60,3.5,3,,3000,1,1,1,1,1,,1,1,1,1,1,1
3oinyncb,מרכז העיר,עיר,110,5,3,,3800,1,1,1,1,1,1,1,1,1,1,1,1
qayoh5xw,נאות אילן,נווה זאב,121,4,12,1300,4450,1,1,1,1,1,3,1,1,1,1,1,1
kprvvsor,בת ים,רמת יוסף,57,3,2,,,1,1,1,1,0,1,1,1,1,1,1,1
deb4zc6m,אשקלון,אפרידר,80,3.5,3,400,3000,1,1,1,1,1,,1,1,1,1,1,1
xsqem4w3,חולון,אגרובנק,35,2,3,,3600,1,1,1,1,0,,1,1,1,1,1,1
d2bd8y0a,ניר יפה,ניר יפה,70,3.5,1,,2700,1,1,1,1,1,,1,1,1,1,1,1
deb4zc6m,אשקלון,אפרידר,80,3.5,3,400,3000,1,1,1,1,1,,1,1,1,1,1,1
xsqem4w3,חולון,אגרובנק,35,2,3,,3600,1,1,1,1,0,,1,1,1,1,1,1
d2bd8y0a,ניר יפה,ניר יפה,70,3.5,1,,2700,1,1,1,1,1,,1,1,1,1,1,1
gl26u5qh,חיפה,המיימוני,140,4,18,700,3800,1,1,1,1,1,,1,1,1,1,1,1
91espn1u,רחובות,אחוזת הנשיא,80,3,4,980,5200,1,1,1,1,1,1,1,1,1,1,1,1
rjouw05b,דימונה,שיכון שלוש קומות,43,3,2,400,1600,1,1,1,1,1,,1,1,1,1,1,1
22lhwnmg,נתניה,מרכז העיר דרום,75,3,6,,5500,1,1,1,1,1,,1,1,1,1,1,1
3ptpvdb5,אשדוד,רובע ג',97,4,6,,5100,1,1,1,1,0,1,1,1,1,1,1,1
sjgbiq1d,הר חומה,חומת שמואל,104,5,2,,7000,1,1,1,1,1,1,1,1,1,1,1,1
ony8lsh4,טבריה,רמת כנרת,70,3,3,,2000,1,1,1,1,0,,1,1,1,1,1,1
vssyoy1o,נאות פרס,"מת""מ",120,4,2,,5700,1,1,1,1,1,1,1,1,1,1,1,1
it3nf5y1,קרית עבודה,מרכז,70,3,1,400,3800,1,1,1,1,0,,1,1,1,1,1,1
r4aetkck,אשקלון,ברנע,96,4,2,400,3800,1,1,1,1,1,1,1,1,1,1,1,1
vssyoy1o,נאות פרס,"מת""מ",120,4,2,,5700,1,1,1,1,1,1,1,1,1,1,1,1
it3nf5y1,קרית עבודה,מרכז,70,3,1,400,3800,1,1,1,1,0,,1,1,1,1,1,1
r4aetkck,אשקלון,ברנע,96,4,2,400,3800,1,1,1,1,1,1,1,1,1,1,1,1
so051q2j,תלפיות מזרח,ארמון הנציב,60,3,1,,3800,1,1,1,1,1,,1,1,1,1,1,1
qk4bo6m8,קרית גת,כרמי גת,76,3,1,950,3400,1,1,1,1,1,1,1,1,1,1,1,1
37gzopne,נתניה,מרכז העיר דרום,60,2.5,1,500,4500,1,1,1,1,0,,1,1,1,1,1,1
k0xih13j,חיפה,נווה שאנן,35,1.5,2,290,2300,1,1,1,1,0,,1,1,1,1,1,1
i1rbz96x,קרית גת,כרמי גת,130,5,4,,4150,1,1,1,1,1,1,1,1,1,1,1,1
s2a86i7v,ירושלים,קרית היובל,62,3.5,3,,3500,1,1,1,1,0,,1,1,1,1,1,1
7psmlmd5,ערד,יעלים,95,3.5,1,500,1800,1,1,1,1,0,,1,1,1,1,1,1
ngll3gev,באר שבע,שכונה ה',70,3,,,2900,1,1,1,1,0,,1,1,1,1,1,1
ed1pdx0n,אשדוד,רובע א',85,4.5,1,,4700,1,1,1,1,0,,1,1,1,1,1,1
it3nf5y1,קרית עבודה,מרכז,70,3,1,400,3800,1,1,1,1,0,,1,1,1,1,1,1
r4aetkck,אשקלון,ברנע,96,4,2,400,3800,1,1,1,1,1,1,1,1,1,1,1,1
so051q2j,תלפיות מזרח,ארמון הנציב,60,3,1,,3800,1,1,1,1,1,,1,1,1,1,1,1
qk4bo6m8,קרית גת,כרמי גת,76,3,1,950,3400,1,1,1,1,1,1,1,1,1,1,1,1
37gzopne,נתניה,מרכז העיר דרום,60,2.5,1,500,4500,1,1,1,1,0,,1,1,1,1,1,1
k0xih13j,חיפה,נווה שאנן,35,1.5,2,290,2300,1,1,1,1,0,,1,1,1,1,1,1
i1rbz96x,קרית גת,כרמי גת,130,5,4,,4150,1,1,1,1,1,1,1,1,1,1,1,1
s2a86i7v,ירושלים,קרית היובל,62,3.5,3,,3500,1,1,1,1,0,,1,1,1,1,1,1
7psmlmd5,ערד,יעלים,95,3.5,1,500,1800,1,1,1,1,0,,1,1,1,1,1,1
ngll3gev,באר שבע,שכונה ה',70,3,,,2900,1,1,1,1,0,,1,1,1,1,1,1
ed1pdx0n,אשדוד,רובע א',85,4.5,1,,4700,1,1,1,1,0,,1,1,1,1,1,1
ed1pdx0n,אשדוד,רובע א',85,4.5,1,,4700,1,1,1,1,0,,1,1,1,1,1,1
jo70ri7t,ירושלים,גילה,85,4.5,1,,4800,1,1,1,1,0,1,1,1,1,1,1,1
igclm6rw,באר יעקב,פארק המושבה,100,4,7,,6500,1,1,1,1,1,1,1,1,1,1,1,1
p6meqkk7,בני ברק,גבעת סוקולוב,25,1,,80,1500,1,1,1,1,0,,1,1,1,1,1,1
95yh9ibf,קרית גת,מגדים,85,3,3,380,2500,1,1,1,1,0,1,1,1,1,1,1,1
3n5f2wrw,לוד,גני אביב,30,1,4,260,1950,1,1,1,1,0,1,1,1,1,1,1,1
l02nvdzt,נצרת עילית / נוף הגליל,דרומית,60,3,1,400,2300,1,1,1,1,0,,1,1,1,1,1,1
j02viw3p,קרית אתא,מרכז העיר,80,3,2,,2800,1,1,1,1,0,,1,1,1,1,1,1
5zfje68i,כרמי צור,כרמי צור,110,5,2,,3100,1,1,1,1,1,2,1,1,1,1,1,1
5zfje68i,כרמי צור,כרמי צור,110,5,2,,3100,1,1,1,1,1,2,1,1,1,1,1,1
0sh75l1u,קרית אונו,גני אילן,71,3,2,,3900,1,1,1,1,0,,1,1,1,1,1,1
fjt5h4lw,באר שבע,שכונה ו',72,3,1,520,2650,1,1,1,1,0,,1,1,1,1,1,1
l8t00fzw,אשקלון,שקמים ואגמים,105,4,5,,4200,1,1,1,1,1,1,1,1,1,1,1,1
ws4hmy4e,אשקלון,גולדה,83,4,4,502,3200,1,1,1,1,1,,1,1,1,1,1,1
mtxek635,קרית ים,קרית ים ב',96,3.5,2,750,3100,1,1,1,1,1,,1,1,1,1,1,1
8mca60xv,לוד,חסכון ג,80,4,3,,3500,1,1,1,1,0,,1,1,1,1,1,1
9sol4txk,נתניה,נאות שקד,82,4,3,520,4000,1,1,1,1,0,,1,1,1,1,1,1
dlg4xmhh,אור עקיבא,"נוף ים - מע""ר",120,5,16,1200,5500,1,1,1,1,1,1,1,1,1,1,1,1
ou75lo45,בת ים,רוטשילד עצמאות,70,3,1,,3500,1,1,1,1,0,1,1,1,1,1,1,1
e0ryupr2,פתח תקווה,עין גנים,90,3.5,2,,4700,1,1,1,1,1,1,1,1,1,1,1,1
7dr1bq4h,בן גוריון,אברהם דנינו,117,4,1,750,,1,1,1,1,1,,1,1,1,1,1,1
9sol4txk,נתניה,נאות שקד,82,4,3,520,4000,1,1,1,1,0,,1,1,1,1,1,1
dlg4xmhh,אור עקיבא,"נוף ים - מע""ר",120,5,16,1200,5500,1,1,1,1,1,1,1,1,1,1,1,1
ou75lo45,בת ים,רוטשילד עצמאות,70,3,1,,3500,1,1,1,1,0,1,1,1,1,1,1,1
e0ryupr2,פתח תקווה,עין גנים,90,3.5,2,,4700,1,1,1,1,1,1,1,1,1,1,1,1
7dr1bq4h,בן גוריון,אברהם דנינו,117,4,1,750,,1,1,1,1,1,,1,1,1,1,1,1
69yjk23p,יד שמואל,"בית""ר",60,3,1,,2500,1,1,1,1,0,,1,1,1,1,1,1
2xm2za63,ירושלים,גילה,83,4,1,400,,1,1,1,1,1,1,1,1,1,1,1,1
kh0v6kcg,חולון,קרית אילון,150,6,2,,8200,1,1,1,1,1,1,1,1,1,1,1,1
ol3h497r,אדם - גבע בנימין,גבע בנימין,60,3,,,3000,1,1,1,1,0,,1,1,1,1,1,1
tninm72e,טירת כרמל,נאות כרמל,75,4,1,,3200,1,1,1,1,1,,1,1,1,1,1,1
kju777cs,בת ים,לב העיר,68,3,1,,4200,1,1,1,1,0,,1,1,1,1,1,1
pcq1rvk9,פארק צמרת,צמרות איילון,82,3,7,,10000,1,1,1,1,1,1,1,1,1,1,1,1
f702pel0,גני תקווה,צמרת הרמה,80,3,4,670,3500,1,1,1,1,0,1,1,1,1,1,1,1
661c7pcq,בלפוריה,בלפוריה,100,3,2,1000,4500,1,1,1,1,1,,1,1,1,1,1,1
p65s4gud,באר שבע,שכונה ג',60,2.5,7,430,1700,1,1,1,1,1,,1,1,1,1,1,1
xubtpajd,בת ים,לב העיר,85,3.5,4,,4500,1,1,1,1,1,,1,1,1,1,1,1
5b96msuo,חיפה,קרית אליעזר,65,3,3,,2700,1,1,1,1,0,3,1,1,1,1,1,1
3c1t5ot6,קרית גת,ההעפלה,65,3,3,,2800,1,1,1,1,0,,1,1,1,1,1,1
0b7i5y04,מורשה,מוסררה,60,3,2,450,5000,1,1,1,1,0,,1,1,1,1,1,1
ve4730ey,פארק צמרת,צמרות איילון,104,4,7,,12500,1,1,1,1,1,1,1,1,1,1,1,1
kcxnl92e,ראשון לציון,כצנלסון,100,4,2,,4850,1,1,1,1,0,,1,1,1,1,1,1
m2tcty1j,תל אביב יפו,תל חיים,60,2.5,2,,5400,1,1,1,1,0,1,1,1,1,1,1,1
yz7sbxp4,אור יהודה,נווה סביון,124,4.5,2,700,6950,1,1,1,1,1,2,1,1,1,1,1,1
yz7sbxp4,אור יהודה,נווה סביון,124,4.5,2,700,6950,1,1,1,1,1,2,1,1,1,1,1,1
s9mwdyot,סביניה,מרכז העיר,60,2.5,2,590,2200,1,1,1,1,0,,1,1,1,1,1,1
1oqh8g0j,חדרה,מרכז העיר,103,4,1,,4200,1,1,1,1,1,,1,1,1,1,1,1
cnwluo3n,כפר יונה,שאר העיר,70,3.5,1,,2700,1,1,1,1,0,,1,1,1,1,1,1
1v9zibdd,תל אביב יפו,נווה שאנן,110,3,2,600,5800,1,1,1,1,0,3,1,1,1,1,1,1
qlzhoh4f,נתיבות,נווה שרון / שער העיר,110,4,5,,3000,1,1,1,1,1,1,1,1,1,1,1,1
qw39c332,חיפה,המיימוני,84,3,4,600,3500,1,1,1,1,0,,1,1,1,1,1,1
g6fjbwwa,מערב ותיק,רמז,85,3,1,830,5555,1,1,1,1,1,,1,1,1,1,1,1
aph6eamo,רמלה,ויצמן,80,3,2,,4300,1,1,1,1,0,1,1,1,1,1,1,1
w202lt3q,קרית גת,בני ישראל,70,3,3,,2000,1,1,1,1,1,,1,1,1,1,1,1
r520q6od,סביניה,מרכז העיר,70,3,1,1,3000,1,1,1,1,0,,1,1,1,1,1,1
f1by0qs8,חולון,נאות רחל,75,3,1,620,3800,1,1,1,1,0,,1,1,1,1,1,1
piewmoni,סביניה,מרכז העיר,110,5,1,1000,4500,1,1,1,1,1,,1,1,1,1,1,1
f1by0qs8,חולון,נאות רחל,75,3,1,620,3800,1,1,1,1,0,,1,1,1,1,1,1
piewmoni,סביניה,מרכז העיר,110,5,1,1000,4500,1,1,1,1,1,,1,1,1,1,1,1
cmb2tkvj,בת ים,לב העיר,70,3,3,600,3900,1,1,1,1,0,,1,1,1,1,1,1
aqbdnmcr,ירושלים,עיר גנים,70,3,,560,3600,1,1,1,1,0,,1,1,1,1,1,1
0t9zg414,סביניה,מרכז העיר,70,3,2,600,3000,1,1,1,1,1,,1,1,1,1,1,1
i8g82gbc,חיפה,רמות רמז,95,4,2,500,4200,1,1,1,1,0,1,1,1,1,1,1,1
le8jib4u,חיפה,רמות רמז,40,2,,200,2400,1,1,1,1,0,1,1,1,1,1,1,1
rqmelmce,חריש,אבני חן,103,4,6,890,3000,1,1,1,1,1,1,1,1,1,1,1,1
v7edv8le,אור יהודה,ההסתדרות,80,3.5,3,,4500,1,1,1,1,1,,1,1,1,1,1,1
q1uov84n,ירושלים,קרית היובל,50,3,1,450,3600,1,1,1,1,0,,1,1,1,1,1,1
v7edv8le,אור יהודה,ההסתדרות,80,3.5,3,,4500,1,1,1,1,1,,1,1,1,1,1,1
q1uov84n,ירושלים,קרית היובל,50,3,1,450,3600,1,1,1,1,0,,1,1,1,1,1,1
5tttyagt,חריש,החורש,100,4,2,750,3000,1,1,1,1,1,1,1,1,1,1,1,1
oosh3buf,הרכבת,מונטיפיורי,113,4,43,,13000,1,1,1,1,1,1,1,1,1,1,1,1
feqczhbh,שערי חסד,נחלאות,24,1.5,2,1,3250,1,1,1,1,0,,1,1,1,1,1,1
4tti1wei,נאות אילן,נווה זאב,120,4,2,,3800,1,1,1,1,1,1,1,1,1,1,1,1
1vouq8rh,חיפה,הדר עליון,65,2.5,2,,2555,1,1,1,1,0,1,1,1,1,1,1,1
5pj2hlr5,ירושלים,קרית משה,75,3,3,,6000,1,1,1,1,1,2,1,1,1,1,1,1
o3em2yp1,תלפיות מזרח,ארמון הנציב,40,2,1,,3400,1,1,1,1,1,1,1,1,1,1,1,1
ni9crq52,בת ים,לב העיר,108,3.5,3,,5000,1,1,1,1,1,2,1,1,1,1,1,1
8mn6arkb,חולון,אגרובנק,58,2,,,3600,1,1,1,1,0,2,1,1,1,1,1,1
5b96msuo,חיפה,קרית אליעזר,65,3,3,,2700,1,1,1,1,0,3,1,1,1,1,1,1
3c1t5ot6,קרית גת,ההעפלה,65,3,3,,2800,1,1,1,1,0,,1,1,1,1,1,1
0b7i5y04,מורשה,מוסררה,60,3,2,450,5000,1,1,1,1,0,,1,1,1,1,1,1
ve4730ey,פארק צמרת,צמרות איילון,104,4,7,,12500,1,1,1,1,1,1,1,1,1,1,1,1
kcxnl92e,ראשון לציון,כצנלסון,100,4,2,,4850,1,1,1,1,0,,1,1,1,1,1,1
m2tcty1j,תל אביב יפו,תל חיים,60,2.5,2,,5400,1,1,1,1,0,1,1,1,1,1,1,1
yz7sbxp4,אור יהודה,נווה סביון,124,4.5,2,700,6950,1,1,1,1,1,2,1,1,1,1,1,1
